,country,volume,deaths,cases,index,nn-score_avg,textblob-score_avg,vader-score_avg,native-score_avg
847,Wales,-0.39407300386472494,-0.7795998961461196,0.12767550427504204,0,0.3653846153846154,0.03380281177156175,-0.020524519230769266,-0.125
848,England,-1.0033240087088238,-0.6875341173530698,0.37540989297940375,0,0.09887785640824574,0.05042142044904776,0.005200330685254615,0.1126142264902672
849,Scotland,-1.347288356813358,0.02762895635154952,-0.4492132682769438,0,0.02222222222222222,0.017852584179691457,0.0051303831417624495,0.02298850574712644
850,Northern Ireland,-0.42524001077709517,0.0,1.662384624040955,0,0.16666666666666666,-0.0027341269841269825,-0.09974000000000001,0.26666666666666666
851,Wales,-0.22136055917032096,-0.2764634820577815,0.43501155523529406,0,0.28304597701149425,0.07304801011966958,0.25191580459770113,0.3089080459770115
852,England,-0.671875837195041,-0.5463646767505772,0.5068686122558334,0,0.03618288860401847,0.040493905027899305,-0.011754912559112853,0.10250453060431049
853,Scotland,-0.9486622011322874,-0.2845642255700196,0.7257187725994074,0,0.08408488063660477,-0.004620623230537027,0.05740396551724137,0.055968169761273216
854,Northern Ireland,0.17189868717257306,0.0,1.2070194491486856,0,0.21969696969696972,0.0248525022956841,-0.08585189393939396,-0.20454545454545456
855,Wales,4.13962866936338,-0.13271022088968487,0.07422575628195474,0,0.21463796477495106,0.029751935212129637,-0.010766964774951074,0.23694716242661448
856,England,-0.4554198884513461,-0.4622637334129221,0.6215487352128151,0,-0.007440358865105485,0.05875335904849476,0.03194789192485952,0.10274217201550197
857,Scotland,-0.4503795065309491,-0.18049983159616323,1.5292542747053905,0,0.09663238556160517,0.07560884552755393,0.06218332123411977,0.023230490018148815
858,Northern Ireland,0.4107541663524404,0.0,1.4275869557371286,0,0.14285714285714288,0.019692773468815154,-0.009713690476190466,0.0
859,Wales,1.203517109558512,-0.7795998961461196,0.6554917657067793,0,0.2931780279341255,0.10698429464054462,0.18751052480717112,0.07976339378778405
860,England,-0.7056970791862434,-0.3961844207904787,1.0278756857035976,0,0.15488471339535168,0.05242853385260093,0.05952552855536897,0.26611987303476664
861,Scotland,-0.8157868159052638,-0.49269301351773237,2.0204001647615315,0,0.0303776683087028,0.03887014012390846,0.05614478653530377,0.05829228243021346
862,Northern Ireland,0.6496096455323077,0.0,1.7264203517601804,0,0.2261904761904762,0.12134074589431731,0.1747160714285714,0.2738095238095238
863,Wales,0.771735997822502,-0.13271022088968487,0.4483739922335659,0,0.3152254249815225,0.05680731531341287,0.07473974501108643,0.3335181079083518
864,England,-1.0337631265009057,-0.43222768222090235,0.5851423469725034,0,-0.09481369694135651,0.05118273934819495,0.02506507276411532,0.14455945945307647
865,Scotland,-1.048318740052555,-0.18049983159616323,1.973541722954055,0,-0.07702642185400806,0.00035762267289359906,-0.101525302283923,-0.0008956560680698692
866,Northern Ireland,-0.5446677503670289,0.0,1.733535432617872,0,0.0,0.05581597222222221,0.02059791666666665,0.2916666666666667
867,Wales,1.073982776037709,0.9454392378710397,0.6399022558754621,0,0.15625,0.12730252608461312,0.17385736607142857,0.25
868,England,-0.9018602827352168,-0.41120244638648856,0.5663059982742552,0,0.06989975026515266,0.08716260490460219,0.08060862451981671,0.1216849421521022
869,Scotland,-0.8490056622120197,-0.18049983159616323,1.4338018932457166,0,0.05294322535701847,0.06745495754602174,0.08612540926506446,0.15882967607105536
870,Northern Ireland,-1.0223787087267635,0.0,2.231591092656292,0,0.16666666666666666,0.028240740740740733,0.0300111111111111,0.1111111111111111
871,Wales,3.189710223544158,-0.2764634820577815,0.2245531725125128,0,0.3283919819859596,0.11153395784416846,0.14015958982736546,0.40192723740562497
872,England,-0.8646569165448942,-0.46526733853212404,0.7416898164058434,0,0.15507821843111644,0.06608729501781117,0.08711994462495197,0.31560270250659095
873,Scotland,-0.6496925843714844,-0.02440324063537867,1.4893378242767996,0,0.16317733990147784,0.023144374717515882,0.037393719211822656,0.2838669950738916
874,Northern Ireland,-1.2612341879066307,0.0,1.4513038919294343,0,0.11111111111111112,-0.0031249999999999997,-0.022172222222222218,0.2222222222222222
875,Wales,3.362422668238562,0.011043040278411742,0.851474175014766,0,0.3713251547303271,0.1239829704123436,0.22473959162245793,0.5768401856763926
876,England,-1.1622838460674747,-0.41420605150569056,0.5165242195717421,0,0.045801399048879456,0.02565125821226992,0.027049167739222325,0.133649403974152
877,Scotland,-1.2808506641998463,0.0796611533384777,1.2637231044630246,0,0.10098522167487683,0.02818338350665936,0.05891600985221675,0.145320197044335
878,Northern Ireland,-1.0223787087267635,0.0,1.387268164210209,0,0.05555555555555555,0.012658730158730149,-0.001972222222222217,0.16666666666666666
879,Wales,1.376229554252916,0.08291967086246005,0.6064961633797825,0,0.10678733031674208,0.06425279121215305,0.21308942307692302,0.4581447963800905
880,England,-1.2806581930366827,-0.3601411593600551,0.6270096934488618,0,-0.10295590933888805,0.08922238699285763,0.07111509985286579,0.25732116583180414
881,Scotland,-0.9154433548255315,0.4959187292339032,0.9495979945684611,0,-0.031198686371100168,0.02950279655575221,0.030873201970443347,0.1793103448275862
882,Northern Ireland,-0.9029509691368298,0.0,0.9864519425602427,0,0.16666666666666666,0.09655092592592592,0.15374722222222223,0.11111111111111112
883,Wales,0.6853797754753,0.011043040278411742,0.6666271298720058,0,0.16565040650406504,0.08632102387294835,0.22674994918699187,0.26727642276422764
884,England,-1.1724302186648354,-0.3511303440024492,0.7651956801175229,0,0.20739558984239836,0.13577899919749545,0.12504407600920897,0.35201368818390094
885,Scotland,-0.9486622011322874,-0.2325320285830914,1.305375052736337,0,0.008359456635318705,0.02910878881600374,0.008178970741901782,0.11572622779519331
886,Northern Ireland,-0.42524001077709517,0.0,0.9745934744640898,0,-0.11111111111111112,0.030190696649029968,0.030658333333333333,0.05555555555555555
887,Wales,0.426311108433694,0.5860560849507982,0.7211904142816157,0,0.19948519948519947,0.08381821045883542,0.11956579794079791,0.359073359073359
888,England,-0.4554198884513461,-0.3180906876912275,0.893092904892183,0,0.013035276963802878,0.043794266553357754,-0.07125899560404174,0.00884183706517762
889,Scotland,-0.7493491232917521,0.3918543352600468,1.0884378221461688,0,0.05316091954022988,0.03976018575533661,0.03706192528735632,0.125
890,Northern Ireland,-0.6640954899569624,0.0,1.254453321533297,0,0.125,0.06023121843434345,0.11115833333333335,0.25
891,Wales,0.12406433021848703,-0.2764634820577815,0.9516924525018047,0,0.25245098039215685,0.0977643587264451,0.2508683823529411,0.3627450980392157
892,England,-0.7327540727792051,-0.2610221904263901,0.7739806998885547,0,-0.006771916626422637,0.07883557002418111,-0.03393578906808696,0.18943081555214608
893,Scotland,-0.38394181391743737,0.33982213827311863,0.9600109816367891,0,-0.0603448275862069,0.008970331565518345,0.04371278735632183,-0.014367816091954026
894,Northern Ireland,-0.5446677503670289,0.0,1.2117628363871469,0,-0.041666666666666664,0.07189168470418467,0.20890625,-0.041666666666666664
895,Wales,-0.264538670343922,0.4423028237827016,0.9082645322574213,0,0.10625000000000001,0.05463700622294367,0.14442468749999995,0.10625000000000001
896,England,-0.02589011516307664,-0.14688519589671525,0.859535712253287,0,0.012277362718995278,0.04875850202368277,0.024700268085574843,0.11569970387530838
